date,temperature
3/20/2021,7.8
11/8/2020,40.9
2/8/2021,5.9
3/23/2021,-7.8
5/23/2020,96.5
9/13/2021,89.3
10/31/2020,-40.4
3/20/2020,0.8
10/17/2020,81.5
5/21/2021,131.5
9/25/2021,-4.2
7/1/2021,-46.1
7/2/2020,76.8
4/6/2021,110.8
8/5/2021,2.1
7/2/2021,21.9
3/12/2020,89.7
1/21/2021,58.2
9/19/2021,-18.3
4/24/2021,76.3
12/10/2020,104.1
12/27/2020,112.5
5/31/2021,18.6
6/6/2020,6.5
6/30/2020,-48.5
12/30/2021,57.4
7/17/2021,110.6
5/19/2021,139.9
2/2/2021,110.9
10/11/2020,-39.1
9/1/2021,94.2
2/16/2020,0.9
2/12/2021,57.0
6/19/2021,101.4
5/10/2021,99.2
3/17/2020,78.7
8/10/2020,-10.5
8/20/2021,132.8
5/6/2021,104.3
12/5/2020,89.5
6/14/2020,142.2
4/6/2021,99.3
4/11/2020,5.3
2/25/2020,38.8
11/18/2021,-19.5
12/15/2020,81.5
2/13/2021,-31.6
6/29/2020,-21.0
4/1/2020,-24.7
4/19/2020,95.9
2/4/2021,28.5
12/30/2021,-47.3
7/18/2020,20.1
10/15/2021,-44.2
9/2/2020,-16.0
4/21/2020,67.4
6/26/2020,9.4
9/12/2021,135.4
3/30/2020,-16.2
7/8/2020,144.6
12/8/2020,89.9
2/16/2021,88.2
3/30/2021,142.8
8/23/2021,67.3
3/22/2020,-39.9
9/9/2020,54.4
4/25/2020,3.0
12/17/2020,92.1
4/28/2020,99.8
7/19/2021,34.7
5/12/2021,93.7
8/5/2020,27.0
8/17/2020,65.4
1/26/2021,112.3
2/3/2021,76.2
11/22/2020,63.4
2/5/2021,11.6
12/20/2021,-48.3
10/9/2020,64.3
12/28/2020,92.1
8/10/2020,116.4
8/1/2021,90.2
1/9/2021,41.2
4/15/2021,-29.4
3/6/2021,0.4
3/1/2021,141.9
1/13/2021,108.4
9/20/2021,12.3
4/26/2020,131.7
3/11/2020,146.0
5/1/2021,39.8
3/14/2020,66.3
12/23/2020,90.1
3/9/2021,140.1
8/9/2021,60.0
11/5/2021,21.5
12/29/2020,137.5
8/6/2021,-17.1
12/24/2020,135.4
5/9/2020,-8.7
4/11/2020,63.1
4/20/2020,76.8
